girdi,cevap,etiket,girdi_norm
Osmanlı İmparatorluğu kaç yıl sürdü,Osmanlı İmparatorluğu 1299'dan 1922'ye kadar yaklaşık 623 yıl ayakta kaldı. Bu süreyle tarihin en uzun soluklu imparatorluklarından biri oldu.,tarih,osmanlı i mparatorluğu kaç yıl sürdü
Fatih Sultan Mehmet İstanbul'u ne zaman fethetti,"Fatih Sultan Mehmet, 29 Mayıs 1453'te İstanbul'u fethederek Bizans İmparatorluğu'na son verdi. Bu tarih Ortaçağ'ın sonu Yeniçağ'ın başlangıcı kabul edilir.",tarih,fatih sultan mehmet i stanbul u ne zaman fethetti
Kurtuluş Savaşı ne zaman başladı,Kurtuluş Savaşı 19 Mayıs 1919'da Mustafa Kemal'in Samsun'a çıkışıyla fiilen başladı. 1923'te Lozan Antlaşması ile zaferle sonuçlandı.,tarih,kurtuluş savaşı ne zaman başladı
Atatürk hangi reformları yaptı,"Atatürk; harf devrimi, takvim değişikliği, kıyafet reformu, medeni kanun ve laiklik ilkesi gibi köklü reformlarla Türkiye'yi çağdaş bir cumhuriyete dönüştürdü.",tarih,atatürk hangi reformları yaptı
Birinci Dünya Savaşı neden çıktı,"Avusturya Arşidükü Franz Ferdinand'ın 1914'te Saraybosna'da suikaste uğraması fitili ateşledi. Arka planda ittifak sistemleri, milliyetçilik ve emperyalist rekabet yatıyordu.",tarih,birinci dünya savaşı neden çıktı
Fransız Devrimi'nin sonuçları nelerdir,"Fransız Devrimi monarşiyi yıkarak cumhuriyeti getirdi, insan hakları bildirgesini ilan etti ve tüm Avrupa'da milliyetçilik dalgasını başlattı.",tarih,fransız devrimi nin sonuçları nelerdir
İkinci Dünya Savaşı kaç kişinin ölümüne yol açtı,İkinci Dünya Savaşı yaklaşık 70-85 milyon insanın ölümüne yol açtı. Sivil kayıplar askeri kayıpları bile geçti; tarihte en yıkıcı çatışmadır.,tarih,i kinci dünya savaşı kaç kişinin ölümüne yol açtı
Soğuk Savaş neden iki süper güç arasında yaşandı,Soğuk Savaş; ABD'nin kapitalist demokrasi ile Sovyetler Birliği'nin komünist sistemi arasındaki ideolojik çatışmaydı. 1947'den 1991'e kadar sürdü.,tarih,soğuk savaş neden iki süper güç arasında yaşandı
Moğol İmparatorluğu nasıl kuruldu,Cengiz Han 1206'da dağınık Moğol kabilelerini birleştirerek büyük imparatorluğu kurdu. Torunları imparatorluğu Asya'dan Doğu Avrupa'ya kadar genişletti.,tarih,moğol i mparatorluğu nasıl kuruldu
Rönesans neden İtalya'da başladı,"İtalya'nın zengin ticaret şehirleri, antik Yunan-Roma mirasına coğrafi yakınlığı ve güçlü himayekar ailelerin sanatçıları desteklemesi Rönesans'ın burada filizlenmesini sağladı.",diger,rönesans neden i talya da başladı
Amerika kıtası nasıl keşfedildi,Kristof Kolomb 1492'de İspanya adına yola çıkarak Karayip adalarına ulaştı. Ancak kıtada zaten milyonlarca yerli yaşıyordu; bu yüzden keşiften çok 'karşılaşma' denir.,diger,amerika kıtası nasıl keşfedildi
Sanayi Devrimi işçi sınıfını nasıl etkiledi,"Sanayi Devrimi fabrika sistemini doğurdu; köylüler şehirlere akın etti. Uzun çalışma saatleri, çocuk işçiliği ve kötü koşullar işçi sınıfı hareketlerinin doğmasına yol açtı.",uzay,sanayi devrimi işçi sınıfını nasıl etkiledi
Osmanlı'da devşirme sistemi neydi,"Devşirme, Hristiyan ailelerin oğullarından seçilen çocukların Müslüman ve Türk kültürüyle yetiştirilmesi sistemiydi. Yeniçeri ordusu ve üst düzey bürokratlar bu sistemle yetişti.",tarih,osmanlı da devşirme sistemi neydi
Bizans İmparatorluğu ne zaman yıkıldı,Bizans İmparatorluğu 1453'te Osmanlı kuvvetleri tarafından İstanbul'un fethiyle sona erdi. Doğu Roma İmparatorluğu olarak yaklaşık bin yıl ayakta kalmıştı.,tarih,bizans i mparatorluğu ne zaman yıkıldı
Fransız Napolyon'un Avrupa üzerindeki etkisi nedir,"Napolyon Bonaparte Avrupa'ya Fransız Devrimi'nin ilkelerini yaydı, hukuk kodunu kurdu ve modern ulus-devlet anlayışını güçlendirdi; yenilgisi ise güç dengelerini yeniden şekillendirdi.",diger,fransız napolyon un avrupa üzerindeki etkisi nedir
Osmanlı'da Tanzimat Fermanı ne getirdi,"1839'da ilan edilen Tanzimat Fermanı; eşit vatandaşlık, adil vergilendirme ve yaşam güvencesi gibi modern yönetim ilkelerini Osmanlı'ya taşıdı.",tarih,osmanlı da tanzimat fermanı ne getirdi
Birinci Dünya Savaşı'nda Osmanlı hangi cephelerde savaştı,"Osmanlı; Çanakkale, Kafkas, Irak, Suriye ve Hicaz cephelerinde savaştı. Çanakkale Cephesi hem askeri hem sembolik açıdan en önemli olandır.",tarih,birinci dünya savaşı nda osmanlı hangi cephelerde savaştı
Sümer uygarlığı neden önemlidir,"Sümerler yazıyı icat eden, ilk kanunları koyan ve kentleşmeyi başlatan uygarlıktır. MÖ 3000'lerde Mezopotamya'da (bugünkü Irak) kuruldular.",diger,sümer uygarlığı neden önemlidir
Osmanlı'nın çöküş nedenleri nelerdir,"Ekonomik çöküş, siyasi istikrarsızlık, milliyetçi ayaklanmalar, güçlü Avrupa devletleri karşısında askeri yenilgiler ve birinci Dünya Savaşı'nda yanlış safta yer alma Osmanlı'nın çöküşünü hazırladı.",tarih,osmanlı nın çöküş nedenleri nelerdir
Atatürk harf devrimini neden yaptı,Arap alfabesinin Türkçeye uyumsuzluğu ve okuryazarlık oranının düşüklüğü başlıca nedenlerdi. Latin alfabesine geçiş 1928'de gerçekleşti ve okuryazarlık hızla arttı.,tarih,atatürk harf devrimini neden yaptı
Viking medeniyeti nerelere ulaştı,"Vikinglar İskandinavya'dan yola çıkarak Britanya, Fransa, Rusya, İzlanda, Grönland ve hatta Kuzey Amerika'ya (Vinland) ulaştılar. Hem ticaret hem de akın için denizleri kullandılar.",diger,viking medeniyeti nerelere ulaştı
Birleşmiş Milletler neden kuruldu,İkinci Dünya Savaşı'nın yıkımından sonra uluslararası barış ve güvenliği korumak amacıyla 1945'te kuruldu. 51 kurucu üyeyle başlayan örgüt bugün 193 üyeye sahiptir.,kariyer,birleşmiş milletler neden kuruldu
Çin'in Büyük Duvarı neden inşa edildi,"Büyük Duvar; kuzeyden gelen göçebe akınlarına karşı savunma amacıyla inşa edildi. Asıl yapım MÖ 7. yüzyılda başladı, en büyük bölümü Ming Hanedanı döneminde tamamlandı.",diger,çin in büyük duvarı neden inşa edildi
Türkiye Cumhuriyeti ne zaman ilan edildi,Türkiye Cumhuriyeti 29 Ekim 1923'te ilan edildi. Mustafa Kemal Atatürk ilk Cumhurbaşkanı seçildi ve Ankara başkent yapıldı.,tarih,türkiye cumhuriyeti ne zaman ilan edildi
Osmanlı Tanzimat döneminde hangi okullar açıldı,"Tanzimat döneminde Galatasaray Lisesi, Harbiye, Tıbbiye ve Mülkiye gibi modern okullar açıldı. Bu kurumlar Batılı eğitim anlayışını Osmanlı'ya taşıdı.",tarih,osmanlı tanzimat döneminde hangi okullar açıldı
Haçlı Seferleri neden düzenlendi,Haçlı Seferleri; Kutsal Toprakları Müslümanlardan geri almak amacıyla 11-13. yüzyıllarda Papa'nın çağrısıyla düzenlendi. Sonuçları kalıcı olmadı ama Doğu-Batı etkileşimini artırdı.,tarih,haçlı seferleri neden düzenlendi
Osmanlı'da harem ne anlama gelirdi,"Harem; padişahın özel yaşam alanıydı, Arapça'da 'yasak bölge' anlamına gelir. Valide sultan, eşler ve cariyelerden oluşan karmaşık bir hiyerarşi barındırırdı.",tarih,osmanlı da harem ne anlama gelirdi
Fransız Devrimi nasıl sona erdi,Devrim 1799'da Napolyon'un darbeyle iktidarı ele geçirmesiyle fiilen bitti. Ardından Napolyon önce konsül sonra imparator ilan edildi.,tarih,fransız devrimi nasıl sona erdi
İnkalar neden yıkıldı,"İspanyol Conquistador'lar 1532'de küçük bir kuvvetle İnka İmparatorluğu'nu çökertti. Ateşli silahlar, at ve beraberinde getirdikleri hastalıklar belirleyici oldu.",diger,i nkalar neden yıkıldı
Antik Roma'da gladyatörler kimdi,"Gladyatörler; köle, savaş esiri ya da gönüllü kişilerdi. Özel okullarda eğitim alıp arenalarda halk için dövüşürlerdi. Azınlığı hayatta kalmayı başarıp özgürlük kazanabilirdi.",tarih,antik roma da gladyatörler kimdi
Osmanlı'da devlet yönetiminde divan neydi,"Divan-ı Hümayun, padişah adına devlet işlerini yürüten en üst yönetim organıydı. Sadrazam başkanlığında toplanır, savaş, barış ve hukuk kararları burada alınırdı.",tarih,osmanlı da devlet yönetiminde divan neydi
Nazım Hikmet şiirinin özellikleri nelerdir,"Nazım Hikmet serbest vezni Türk şiirine kazandırdı. Şiirlerinde sosyal adalet, özgürlük ve vatan sevgisi öne çıkar; hapse girdiği dönemde bile yazmaktan vazgeçmedi.",sanat,nazım hikmet şiirinin özellikleri nelerdir
Orhan Pamuk Nobel ödülünü hangi yıl aldı,Orhan Pamuk 2006 yılında Nobel Edebiyat Ödülü'nü kazandı. 'Benim Adım Kırmızı' ve 'Kar' gibi eserleriyle Türk edebiyatını dünyaya tanıttı.,diger,orhan pamuk nobel ödülünü hangi yıl aldı
İzlenimcilik akımı nedir,"İzlenimcilik 19. yüzyıl sonunda Fransa'da doğan, anlık ışık ve renk izlenimlerini tuvale aktarmayı amaçlayan resim akımıdır. Monet, Renoir ve Degas en önemli temsilcileridir.",sanat,i zlenimcilik akımı nedir
Pablo Picasso kubizmi nasıl geliştirdi,"Picasso, Georges Braque ile birlikte kubizmi geliştirdi. Nesneleri aynı anda farklı açılardan gösterme ilkesine dayanır; geleneksel perspektifi tamamen terk eder.",kariyer,pablo picasso kubizmi nasıl geliştirdi
Yaşar Kemal Türk edebiyatına ne kattı,"Yaşar Kemal; Çukurova'yı, göçerleri ve sıradan insanların destansı yaşamını anlatan yapıtlarıyla Türk edebiyatına yeni bir ses kazandırdı. 'İnce Memed' en bilinen eseridir.",sanat,yaşar kemal türk edebiyatına ne kattı
Baroque dönem müziğin özellikleri nelerdir,"Barok müzik 17-18. yüzyıllarda hâkimdi; süslü melodi çizgileri, kontrapunto tekniği ve basso continuo kullanımı temel özelliklerdir. Bach, Handel ve Vivaldi bu dönemin devleridir.",diger,baroque dönem müziğin özellikleri nelerdir
Opera sanat türü nasıl doğdu,"Opera 16. yüzyıl sonunda Floransalı müzisyenlerin antik Yunan tiyatrosunu canlandırma çabasıyla doğdu. Müzik, drama, kostüm ve sahne sanatlarını birleştiren toplam bir sanat formudur.",sanat,opera sanat türü nasıl doğdu
Türk halk müziğinde saz ne anlama gelir,Saz; bağlama ailesi çalgıların genel adıdır ve Türk halk müziğinin sembolüdür. Aşıklar yüzyıllardır sazla ozanlık geleneğini sürdürmüştür.,diger,türk halk müziğinde saz ne anlama gelir
Salvador Dali sürrealizm ne demektir,"Sürrealizm bilinçdışını, rüyaları ve mantık dışı imgeleri sanatın merkezine koyar. Dali, eriyen saatler gibi akıl almaz görüntülerle bu akımın simgesi haline geldi.",diger,salvador dali sürrealizm ne demektir
Mimarlıkta Gotik stil nasıl tanınır,"Gotik mimari; sivri kemerler, uçan payandalar, yüksek kuleler ve büyük vitray pencerelerle tanınır. Orta Çağ Avrupası katedrallerinde doruk noktasına ulaştı.",diger,mimarlıkta gotik stil nasıl tanınır
Türk sinemasında Yılmaz Güney'in yeri nedir,Yılmaz Güney hem oyuncu hem yönetmen olarak Türk sinemasının en çarpıcı seslerinden biridir. 'Yol' filmiyle 1982 Cannes Film Festivali'nde Altın Palmiye ödülünü kazandı.,diger,türk sinemasında yılmaz güney in yeri nedir
Ahmet Hamdi Tanpınar kimdir,"Tanpınar, Türk modernizminin kilit ismidir. 'Huzur' ve 'Saatleri Ayarlama Enstitüsü' romanlarında Doğu-Batı gerilimini ve zamanın akışını derinlikli biçimde işledi.",diger,ahmet hamdi tanpınar kimdir
Fütürizm sanat akımı nedir,"Fütürizm 1909'da İtalya'da doğdu; hız, teknoloji ve modern hayatın dinamizmini yüceltti. Geçmiş sanat formlarını reddederek makine çağını sanatın konusu yaptı.",sanat,fütürizm sanat akımı nedir
Halikarnas Balıkçısı kimdir,"Halikarnas Balıkçısı, asıl adı Cevat Şakir Kabaağaçlı'dır. Denizi, Ege'yi ve denizci yaşamını anlatan eserleriyle tanınır; Bodrum'un kültürel simgesi haline gelmiştir.",diger,halikarnas balıkçısı kimdir
Rönesans döneminde Leonardo da Vinci neyi başardı,"Da Vinci ressam, heykeltraş, mühendis ve bilim insanı olarak Rönesans'ın 'evrensel insan' idealini cisimleştirdi. Mona Lisa ve Son Akşam Yemeği başyapıtları arasındadır.",diger,rönesans döneminde leonardo da vinci neyi başardı
Türk şiirinde Divan edebiyatının özellikleri nelerdir,Divan edebiyatı Arapça-Farsça sözcük ve biçimlere dayanır; aruz vezni ve gazeller öne çıkar. Fuzuli ve Baki bu geleneğin zirvesindeki isimlerdir.,sanat,türk şiirinde divan edebiyatının özellikleri nelerdir
Ekspresyonizm nedir,Ekspresyonizm 20. yüzyıl başında Almanya'da gelişti; sanatçının iç dünyasını ve duygusal gerçekliğini dışa vurmayı amaçlar. Edvard Munch'un 'Çığlık' tablosu en tanınan örnektir.,diger,ekspresyonizm nedir
Türk edebiyatında Tanzimat romanının özellikleri nelerdir,"Tanzimat romanı Batılı roman tekniğini Osmanlı toplumuna uyarladı. Sosyal sorunlar, kadın hakları ve yüksek-alçak karşıtlığı başlıca temalardır. Namık Kemal ve Şemsettin Sami öncüllerdir.",tarih,türk edebiyatında tanzimat romanının özellikleri nelerdir
Michelangelo Sistine Şapeli'ni nasıl boyadı,"Michelangelo, Papa II. Julius'un isteğiyle Sistine Şapeli tavanını 1508-1512 arasında boyadı. Sırtüstü yatarak çalıştığına dair efsaneyse doğru değil; özel bir iskele inşa etti.",diger,michelangelo sistine şapeli ni nasıl boyadı
Müzikte klasik dönem hangi yılları kapsar,"Klasik dönem yaklaşık 1750-1820 yılları arasını kapsar. Haydn, Mozart ve genç Beethoven bu dönemin önde gelen bestecileridir; form ve denge ön plandadır.",sanat,müzikte klasik dönem hangi yılları kapsar
Türk tiyatrosu tarihinde Karagöz-Hacivat nedir,"Karagöz ve Hacivat Osmanlı gölge oyununun iki ana karakteridir. Karagöz cahil ama kurnaz halkı, Hacivat yarı aydın kişiyi temsil eder; sosyal eleştiri aracı olarak kullanılmıştır.",tarih,türk tiyatrosu tarihinde karagöz hacivat nedir
Fotoğraf sanatının tarihi nasıl gelişti,"İlk kalıcı fotoğraf 1826'da Nicéphore Niépce tarafından çekildi. Daguerreotype ile yaygınlaşan fotoğraf, 20. yüzyılda sanat, belgeleme ve iletişimi kökten değiştirdi.",tarih,fotoğraf sanatının tarihi nasıl gelişti
Türk edebiyatında Servet-i Fünun ne anlama gelir,Servet-i Fünun 1896-1901 arasında etkin olan Türk edebiyat topluluğudur. Fransız sembolizm ve parnasizminden etkilendi; Tevfik Fikret ve Halit Ziya bu topluluğun öncüleridir.,sanat,türk edebiyatında servet i fünun ne anlama gelir
Andy Warhol pop art nedir,"Pop art 1950-60'larda İngiltere ve ABD'de doğdu; reklam, tüketim ve popüler kültür imgelerini sanata taşıdı. Warhol'un Campbell Çorbası kutuları ve Marilyn baskıları ikonik örneklerdir.",diger,andy warhol pop art nedir
Türk mimarisinde Sinan'ın önemi nedir,Mimar Sinan Osmanlı'nın baş mimarı olarak Süleymaniye ve Selimiye camileri başta 300'den fazla yapı inşa etti. Selimiye'yi yaşlılığında yaptığı en olgun eseri olarak tanımlamıştır.,diger,türk mimarisinde sinan ın önemi nedir
Graffiti sanatı nasıl ortaya çıktı,"Graffiti 1970'lerde New York'ta sokak gençliğinin kimliğini ifade etme biçimi olarak doğdu. Banksy gibi sanatçılarla giderek müzelere, galerilere taşındı ve tartışmalı bir sanat formu haline geldi.",uzay,graffiti sanatı nasıl ortaya çıktı
Türk müziğinde makam nedir,"Makam, Türk müziğinin temel yapı taşıdır; belirli dizi, seyir ve durak özelliklerine sahip müzikal çerçevedir. Rast, Uşşak ve Hicaz en yaygın makamlardandır.",diger,türk müziğinde makam nedir
Bauhaus tasarım okulu nedir,"Bauhaus 1919'da Almanya'da Walter Gropius tarafından kuruldu; sanat, zanaat ve teknolojiyi birleştiren modern tasarım eğitiminin öncüsüdür. Modern grafik ve endüstriyel tasarımı doğrudan etkiledi.",diger,bauhaus tasarım okulu nedir
Türk edebiyatında Sait Faik'in yeri nedir,"Sait Faik Abasıyanık, küçük insanların gündelik hayatını anlatan öyküleriyle Türk kısa öykücülüğünün en büyük ismi sayılır. Hüzün ve şiirsellik yazılarının temel tonudur.",yapay_zeka,türk edebiyatında sait faik in yeri nedir
Doğaüstü korku edebiyatı nasıl bir türdür,"Gotik edebiyat 18. yüzyılda İngiltere'de başladı; karanlık atmosfer, hayaletler ve psikolojik gerilim temel öğeleridir. Mary Shelley ve Bram Stoker bu türün klasiklerini yazdı.",sanat,doğaüstü korku edebiyatı nasıl bir türdür
Türk sinemasında Nuri Bilge Ceylan nasıl bir yere sahiptir,"Nuri Bilge Ceylan; yavaş temposu, görsel şiirselliği ve doğa-insan ilişkisini işleyen filmleriyle uluslararası tanınırlık kazandı. 'Kış Uykusu' 2014 Cannes Altın Palmiye sahibidir.",diger,türk sinemasında nuri bilge ceylan nasıl bir yere sahiptir
Türk edebiyatında Halide Edib Adıvar kimdir,"Halide Edib; Kurtuluş Savaşı'na aktif katılan, güçlü kadın karakterler çizen romancıdır. 'Sinekli Bakkal' ve 'Ateşten Gömlek' başyapıtları arasında yer alır.",sanat,türk edebiyatında halide edib adıvar kimdir
Minimalizm sanat akımı nedir,"Minimalizm 1960'larda ABD'de ortaya çıktı; gereksiz her şeyi soyutlayarak temel form, renk ve malzemeye indirgemeyi amaçlar. Donald Judd ve Dan Flavin öncü isimlerdir.",sanat,minimalizm sanat akımı nedir
Türk edebiyatında Reşat Nuri Güntekin'in önemi nedir,Reşat Nuri Güntekin Anadolu insanını sıcak ve gerçekçi bir dille anlattı. 'Çalıkuşu' romanı; öğretmenlik ideali ve özgürlük arayışıyla Türk edebiyatının en sevilen eseri sayılır.,sanat,türk edebiyatında reşat nuri güntekin in önemi nedir
Bilişsel çarpıtma nedir,"Bilişsel çarpıtmalar, gerçeği olumsuz biçimde çarpıtan düşünce kalıplarıdır. 'Ya hep ya hiç' düşüncesi, felaketleştirme ve zihin okuma en yaygın örneklerdir.",kariyer,bilişsel çarpıtma nedir
MBTI kişilik testinin güvenilirliği nedir,MBTI popüler olsa da bilimsel güvenilirliği sorgulanır; kişilerin sonuçları birkaç hafta içinde değişebilir. Araştırmacılar 'Büyük Beşli' modelini daha güvenilir bulmaktadır.,kariyer,mbti kişilik testinin güvenilirliği nedir
Travma sonrası stres bozukluğu nedir,"TSSB, tehlikeli ya da travmatik bir olayın ardından tekrarlayan kabuslar, kaçınma ve aşırı uyarılmışlık gibi belirtilerle ortaya çıkan bir anksiyete bozukluğudur.",saglik,travma sonrası stres bozukluğu nedir
Sosyal medyanın psikolojik etkileri nelerdir,"Sosyal medya aşırı kullanımı; karşılaştırma kaygısı, FOMO, uyku bozuklukları ve düşük öz saygıyla ilişkilidir. Bununla birlikte topluluk duygusu ve destek ağı da sağlayabilir.",saglik,sosyal medyanın psikolojik etkileri nelerdir
Karar verme psikolojisi nasıl işler,"İnsanlar rasyonelden çok sezgisel kararlar alır. Kayıp korkusu, mevcut durumu tercih etme ve onaylama önyargısı gibi bilişsel kısayollar kararlarımızı sessizce şekillendirir.",saglik,karar verme psikolojisi nasıl işler
Öz şefkat nedir ve neden önemlidir,Öz şefkat; kendine bir arkadaşa göstereceğin naziklikle davranmaktır. Araştırmalar; öz şefkati yüksek bireylerin daha az depresyon ve kaygı yaşadığını ortaya koymuştur.,diger,öz şefkat nedir ve neden önemlidir
Beden dili iletişimdeki payı nedir,"Araştırmalar iletişimin büyük bölümünün sözsüz olduğunu gösterir; göz teması, duruş ve mimikler sözlü mesajı destekler ya da çelişir. Kültüre göre anlamları değişebilir.",uzay,beden dili iletişimdeki payı nedir
Zihin-beden bağlantısı nasıl çalışır,"Psikonöroimmünoloji alanı beyin, sinir sistemi ve bağışıklık sistemi arasındaki köprüyü inceler. Stres bağışıklığı zayıflatırken olumlu duygular iyileşmeyi hızlandırabilir.",diger,zihin beden bağlantısı nasıl çalışır
Öğrenilmiş çaresizlik nedir,Seligman'ın deneylerinde defalarca kaçamadığı durumlarla karşılaşan hayvanlar kaçış mümkün olduğunda bile denemedi. İnsanlarda da tekrarlayan başarısızlık benzer bir teslimiyet yaratabilir.,kariyer,öğrenilmiş çaresizlik nedir
Çocuk gelişiminde bağlanma teorisi ne söyler,Bowlby'nin teorisine göre erken yaşta güvenli bağlanma ileriki ilişkiler için model oluşturur. Güvensiz bağlanma yetişkinlikte kaygılı ya da kaçınmacı ilişki örüntülerine yol açabilir.,kariyer,çocuk gelişiminde bağlanma teorisi ne söyler
Neden yabancılara karşı önyargı geliştiririz,Beyin enerji tasarrufu için hızlı kategorilere başvurur; bu da gruba dışını olumsuz değerlendirme eğilimini doğurur. Farkındalık ve temas bu önyargıyı azaltabilir.,kariyer,neden yabancılara karşı önyargı geliştiririz
Psikolojik dayanıklılık nasıl geliştirilir,"Dayanıklılık; zorluklara anlam yükleme, sosyal destek ağını güçlendirme ve problem odaklı başa çıkma stratejileri benimseyerek geliştirilebilir.",uzay,psikolojik dayanıklılık nasıl geliştirilir
Uyku ve ruh hali arasındaki ilişki nedir,"Yetersiz uyku; kortizol artışına, duygusal düzenlemede güçlüğe ve anlık karar verme bozuklukluğuna yol açar. REM uykusu duygusal anıların işlenmesinde kritik rol oynar.",saglik,uyku ve ruh hali arasındaki ilişki nedir
Doğrulama önyargısı nedir,"Doğrulama önyargısı, var olan inançları destekleyen bilgileri arayıp çelişen bilgileri görmezden gelme eğilimidir. Sosyal medya algoritmaları bu önyargıyı pekiştirebilir.",diger,doğrulama önyargısı nedir
Motivasyon türleri nelerdir,"İçsel motivasyon (ilgi, merak, tatmin) ve dışsal motivasyon (ödül, ceza) temel ayrımdır. Araştırmalar içsel motivasyonun uzun vadeli performans için daha güçlü olduğunu gösterir.",diger,motivasyon türleri nelerdir
Neden bazı insanlar yalnız olmaktan keyif alır,İçe dönüklük; sosyal etkileşimden enerji tüketip yalnızlıktan enerji devşirme biçimidir. Patolojik değildir; eşik farklılığı nörolojik temelli uyarılma düzeyiyle açıklanır.,diger,neden bazı insanlar yalnız olmaktan keyif alır
Anksiyete panik atakla nasıl ayrılır,"Anksiyete; süregelen bir endişe ve gerilim halidir. Panik atak ise ani yoğun korku dalgasıdır; çarpıntı, nefes darlığı ve ölüm korkusu gibi fiziksel belirtilerle birlikte gelir.",uzay,anksiyete panik atakla nasıl ayrılır
Hafıza neden seçicidir,Beyin her şeyi kaydetmez; duygusal yoğunluğu yüksek olaylar daha güçlü kodlanır. Ayrıca hafıza her hatırlamada yeniden yazılır; bu yüzden tanıkların anlatımları çelişebilir.,diger,hafıza neden seçicidir
Ego tükenme teorisi nedir,Roy Baumeister'a göre irade sınırlı bir kaynaktır; gün içinde defalarca direnç göstermek onu tüketir. Günün sonunda sağlıksız kararlar almak bu 'ego tükenmesi'nin sonucu olabilir.,diger,ego tükenme teorisi nedir
Çocuklarda öfke atakları neden görülür,"Öfke atakları; henüz gelişmemiş duygusal düzenleme becerisinin dışa vurumudur. 2-4 yaş arası zirvede olan bu davranış, tutarlı sınırlar ve empatiyle yönetilir.",diger,çocuklarda öfke atakları neden görülür
Psikoterapi türleri nelerdir,"Bilişsel davranışçı terapi, psikodinamik terapi, kabul ve kararlılık terapisi, EMDR ve humanistik terapi başlıca yaklaşımlardır. Hangi tür daha etkili olacağı kişiye ve soruna göre değişir.",diger,psikoterapi türleri nelerdir
Mindfulness meditasyon neden etkilidir,Nörobilimsel araştırmalar; düzenli mindfulness pratiğinin amigdalayı küçültüp prefrontal korteksi kalınlaştırdığını gösteriyor. Bu stres tepkisini azaltır ve duygusal esnekliği artırır.,diger,mindfulness meditasyon neden etkilidir
Sosyal karşılaştırma psikolojisi nedir,Festinger'in teorisine göre insanlar kendini değerlendirmek için başkalarıyla karşılaştırır. Yukarı karşılaştırma motivasyon ya da haset yaratabilir; aşağı karşılaştırma ise kendini iyi hissettire bilir.,saglik,sosyal karşılaştırma psikolojisi nedir
Merkez bankası ne işe yarar,"Merkez bankası; para politikasını belirler, enflasyonu kontrol eder, ticari bankaları denetler ve ulusal para biriminin değerini koruma altına alır.",spor,merkez bankası ne işe yarar
Faiz oranı düşünce ne olur,"Faiz oranının düşmesi borçlanmayı ucuzlatır; tüketim ve yatırım artar, ekonomi canlanır. Ama uzun süre çok düşük kalırsa enflasyon tehlikesi ortaya çıkabilir.",yapay_zeka,faiz oranı düşünce ne olur
Borsa nasıl günlük fiyat belirler,"Borsa fiyatları anlık arz-talep dengesiyle oluşur. Şirket haberleri, ekonomik veriler, küresel gelişmeler ve yatırımcı duyarlılığı fiyatları sürekli etkiler.",finans,borsa nasıl günlük fiyat belirler
Resesyon nedir ve nasıl tanınır,"Resesyon iki çeyrek üst üste ekonomik daralmayla tanımlanır. İşsizlik artar, tüketim düşer, şirketler yatırımları kısar ve kredi koşulları sertleşir.",diger,resesyon nedir ve nasıl tanınır
Kişisel bütçe nasıl yapılır,"Gelir ve giderleri listeleyin; zorunlu, isteğe bağlı ve tasarruf kategorilerine ayırın. 50/30/20 kuralı pratik bir başlangıç noktasıdır: gelirin %50 zorunlu, %30 istek, %20 tasarruf.",kariyer,kişisel bütçe nasıl yapılır
Enflasyon ve deflasyon farkı nedir,"Enflasyon fiyatların artması, paranın değer kaybetmesidir. Deflasyon ise fiyatların düşmesidir; tüketiciler bekleyişle harcamayı erteler ve ekonomik durgunluk derinleşir.",finans,enflasyon ve deflasyon farkı nedir
Borsa balonu nedir,Balonda varlık fiyatları gerçek değerinin çok üstüne çıkar; spekülatif alım fiyatları şişirir. Balon patladığında değerler hızla erir; 2000 dot-com ve 2008 konut balonları birer örnektir.,finans,borsa balonu nedir
Döviz kuru nasıl belirlenir,"Döviz kuru; merkez bankası müdahalesi, ticaret dengesi, enflasyon farkı, faiz farkı ve yatırımcı beklentileri gibi faktörlerle anlık değişir.",finans,döviz kuru nasıl belirlenir
Emeklilik planlamasında bileşik faiz neden kritiktir,Bileşik faiz; kazanılan faizin de faiz getirmesidir. Erken başlamak küçük birikimle büyük servet oluşturmayı mümkün kılar; gecikilen her yıl son bakiyeyi önemli ölçüde düşürür.,yapay_zeka,emeklilik planlamasında bileşik faiz neden kritiktir
Vergi avantajlı yatırım araçları nelerdir,Bireysel Emeklilik Sistemi devlet katkısıyla vergi avantajı sunar. Bazı ülkelerde ISA ya da 401(k) gibi hesaplar kazancı vergisiz büyütür; Türkiye'de BES birincil seçenektir.,finans,vergi avantajlı yatırım araçları nelerdir
Kripto para yatırımının riskleri nelerdir,"Yüksek volatilite, regülasyon belirsizliği, hack riski, likidite sorunları ve piyasa manipülasyonu kripto paranın başlıca riskleridir. Yatırımcıların kaybedebileceği miktarla girmeleri önerilir.",finans,kripto para yatırımının riskleri nelerdir
Enflasyona karşı nasıl korunulur,"Altın, gayrimenkul, enflasyona endeksli tahvil ve hisse senedi enflasyona karşı tarihsel korunma araçlarıdır. Tek bir araca bağlı kalmak yerine çeşitlendirme önerilir.",finans,enflasyona karşı nasıl korunulur
Stagflasyon nedir,Stagflasyon yüksek enflasyonla ekonomik durgunluğun aynı anda yaşandığı nadir bir durumdur. 1970'lerin petrol kriziyle tanınan bu tablo merkez bankalarını zor kararlarla karşı karşıya bırakır.,diger,stagflasyon nedir
